0797 00538 1|T|129.14698302|+08.33557914|       |       | 58.6| 41.3|     |     | |12.141|0.223|10.692|0.089|281|T|
0808 00492 1|T|126.72927334|+14.81558329|       |       | 59.0| 47.7|     |     | |12.026|0.215|11.048|0.146|288|T|
0882 01107 1|T|191.57606575|+09.50237600|       |       |113.7| 61.9|     |     | |11.191|0.141|11.501|0.330| 59|T|
0885 01207 1|T|192.19387321|+12.17244014|       |       | 59.7| 60.3|     |     | |11.799|0.198|11.401|0.225|179|T|
0892 00070 1|T|202.03437644|+09.45856125|       |       | 53.6| 45.0|     |     | |12.162|0.189|10.558|0.068|236|T|
0970 00283 1|T|251.78915852|+13.04057866|       |       | 27.7| 22.5|     |     | |11.692|0.092|10.233|0.038|337|T|
0974 01775 1|T|252.39549961|+13.26227125|       |       | 29.8| 29.5|     |     | |10.503|0.058| 9.711|0.043| 53|T|
1008 01947 1|T|270.05455136|+08.85311170|       |       | 69.4| 51.2|     |     | |11.962|0.207|11.066|0.159|124|T|
1011 00597 1|T|268.10440887|+10.03411250|       |       | 46.0| 46.9|     |     | |11.438|0.087|11.336|0.147|166|T|
1012 01313 2|T|270.00292493|+09.69588231|       |       | 31.3| 36.2|     |     | |13.196|0.619|10.867|0.128| 55|T|
1015 02006 2|T|268.85987496|+11.65011362|       |       | 30.2| 37.1|     |     | |12.397|0.243|11.227|0.153| 59|T|
1044 01454 1|T|286.03400543|+11.10547004|       |       | 36.7| 28.6|     |     | |10.935|0.074|10.543|0.090| 55|T|
1059 00379 2|T|292.35182393|+11.23434134|       |       | 33.9| 28.4|     |     | |11.450|0.125|11.098|0.146| 55|T|
1061 02257 1|T|295.24063969|+09.42550105|       |       | 26.8| 23.4|     |     | |11.249|0.064|10.684|0.064|181|T|
1065 02096 1|T|295.02142333|+11.28614747|       |       | 17.0| 17.7|     |     | |11.187|0.058| 9.595|0.021|236|T|
1067 01247 1|T|291.84733289|+13.98673961|       |       | 41.9| 53.2|     |     | |12.011|0.214|11.106|0.149| 65|T|
1067 01248 1|T|292.05382139|+13.99828370|       |       | 46.8| 39.6|     |     | |12.943|0.499|11.739|0.265|170|T|
1069 02426 1|T|295.47448055|+13.24141334|       |       | 64.0| 29.2|     |     | |10.975|0.083|10.886|0.128|234|T|
1076 02069 1|T|301.95374011|+10.26146213|       |       | 57.7| 55.4|     |     | |12.182|0.284|10.935|0.134|200|T|
1076 02598 1|T|301.79912228|+10.60535294|       |       | 68.1| 42.2|     |     | |11.842|0.201|10.825|0.118|119|T|
1084 01429 1|T|301.88876705|+13.62205334|       |       | 39.1| 34.3|     |     | |11.457|0.084|10.922|0.083|179|T|
1098 01936 1|T|312.93435105|+11.47107516|       |       | 64.9| 44.9|     |     | |11.871|0.184|11.442|0.209|286|T|
1167 01662 1|T|347.48084122|+14.42815728|       |       | 87.4| 78.8|     |     | |12.342|0.361|10.926|0.150| 78|T|
1179 00666 1|T|003.75221534|+16.23009236|       |       | 47.8| 40.3|     |     | |12.163|0.187|11.051|0.127|279|T|
1228 01670 1|T|046.79558864|+19.37169037|       |       | 57.8| 42.2|     |     | |11.719|0.140|10.880|0.097|285|T|
1231 01443 1|T|046.66453912|+20.63722818|       |       | 28.9| 25.1|     |     | |11.148|0.079|10.508|0.069|163|T|
1282 00348 1|T|077.97582801|+16.74470952|       |       | 69.7| 52.6|     |     | |11.380|0.150|10.778|0.128|199|T|
1303 01872 1|T|086.89449375|+17.77611542|       |       |132.3| 84.2|     |     | |13.547|0.840|13.762|1.222|172|T|
1311 02203 1|T|087.02904062|+21.05525749|       |       | 56.3| 47.1|     |     | |11.083|0.109|10.365|0.080|281|T|
1314 00954 1|T|092.81456782|+15.56289997|       |       | 52.2| 43.1|     |     | |10.916|0.094|10.352|0.087|340|T|
1324 02810 1|T|088.24158835|+20.76866232|       |       | 82.9| 54.6|     |     | |10.865|0.054|10.301|0.054|335|T|
1328 01983 1|T|097.82632110|+15.73789565|       |       | 61.9| 69.8|     |     | |11.350|0.168|10.645|0.131| 84|T|
1340 00116 1|T|096.28711364|+22.06319587|       |       |106.3| 56.0|     |     | |11.103|0.158|10.707|0.173|340|T|
1352 01196 1|T|104.76637205|+19.43454166|       |       | 66.6| 58.9|     |     | |11.910|0.216|11.163|0.157|172|T|
1364 01119 1|T|113.61708314|+17.40347904|       |       | 55.2| 49.2|     |     | |11.512|0.157|10.797|0.115|239|T|
1375 01324 1|T|119.49856819|+21.05861798|       |       | 57.3| 43.1|     |     | |12.058|0.187|10.772|0.089|225|T|
1425 00704 1|T|152.29067109|+21.79936724|       |       | 50.2| 44.2|     |     | |11.367|0.086|11.416|0.128|338|T|
1450 01134 1|T|195.31124532|+15.86528222|       |       | 68.0| 73.0|     |     | |11.970|0.221|11.050|0.156|125|T|
1455 01413 1|T|193.33089561|+21.24022569|       |       | 26.0| 20.6|     |     | |10.392|0.064| 9.455|0.044|281|T|
1492 00384 1|T|228.57677104|+20.56863976|       |       | 33.2| 30.5|     |     | |11.397|0.080|10.727|0.070|338|T|
1546 01560 1|T|262.16152006|+19.86594921|       |       | 31.6| 37.0|     |     | |12.055|0.156|10.775|0.074|339|T|
1549 01422 1|T|260.64089901|+21.02510950|       |       | 34.3| 36.1|     |     | |11.777|0.103|11.279|0.106|343|T|
1566 03678 1|T|271.45842958|+21.43825013|       |       | 31.4| 38.9|     |     | |11.530|0.107|10.374|0.061|282|T|
1571 00075 1|T|273.26154971|+18.67787753|       |       | 28.4| 25.0|     |     | |11.301|0.069|10.575|0.057|344|T|
1582 00073 1|T|279.49209284|+22.37560852|       |       | 28.8| 37.1|     |     | |11.985|0.135|10.662|0.065|223|T|
1587 02068 1|T|281.63860570|+16.98431552|       |       | 49.2| 45.4|     |     | |11.360|0.089|10.508|0.067| 54|T|
1590 03295 2|T|287.60597014|+17.73741485|       |       | 32.4| 33.8|     |     | |11.107|0.071|10.735|0.087| 65|T|
1592 00484 1|T|283.94704962|+19.58511475|       |       | 30.9| 31.8|     |     | |11.735|0.098|10.605|0.055|225|T|
1598 01945 1|T|286.72388983|+22.17479284|       |       | 31.4| 43.3|     |     | |11.555|0.107|11.412|0.130| 61|T|
1599 03971 1|T|288.63498263|+15.36685490|       |       | 56.1| 53.9|     |     | |11.543|0.171|10.933|0.163|109|T|
1602 01420 1|T|294.84848824|+16.57526243|       |       |  9.8|  9.1|     |     | | 9.665|0.019| 9.403|0.022|286|T|
1610 00849 1|T|295.11654031|+20.48337836|       |       | 44.3| 43.9|     |     | |11.464|0.122|10.999|0.121|232|T|
1619 00774 1|T|297.63224484|+17.27397624|       |       | 36.7| 32.9|     |     | |11.569|0.117|11.136|0.120|197|T|
1621 01553 1|T|301.98292872|+17.08618732|       |       | 42.3| 43.6|     |     | |11.809|0.159|10.944|0.115|203|T|
1640 00352 1|T|306.63135301|+19.24739668|       |       | 80.2| 61.0|     |     | |12.124|0.288|12.202|0.473| 54|T|
1641 01495 2|T|309.91055647|+20.30365575|       |       | 33.8| 31.5|     |     | |10.874|0.073|10.064|0.056| 67|T|
1648 00474 1|T|314.81043055|+15.57824220|       |       | 56.5| 41.0|     |     | |11.693|0.110|11.158|0.109|343|T|
1656 00536 2|T|315.66658502|+19.39660644|       |       | 27.6| 40.7|     |     | |11.838|0.133|11.464|0.155| 57|T|
1661 02333 1|T|317.63039003|+22.45626257|       |       | 17.2| 19.0|     |     | |10.170|0.144| 9.688|0.123| 60|T|
1663 01633 1|T|320.39189948|+15.22638307|       |       | 53.8| 54.3|     |     | |12.653|0.353|10.745|0.096|346|T|
1690 01740 1|T|334.80570089|+19.79263699|       |       | 83.2| 95.8|     |     | |12.573|0.392|11.637|0.356|286|T|
1695 01415 1|T|336.80113015|+15.15425750|       |       | 54.2| 71.8|     |     | |11.856|0.224|11.218|0.209| 48|T|
1733 00954 1|T|003.19022718|+27.10382147|       |       | 66.7| 43.9|     |     | |11.994|0.193|11.566|0.214|221|T|
1733 02464 1|T|003.34580771|+26.98403035|       |       | 24.9| 17.8|     |     | |10.800|0.056|10.009|0.046|180|T|
1741 00416 2|T|009.33320384|+27.30430853|       |       | 32.1| 28.4|     |     | |11.126|0.114|10.326|0.083| 40|T|
1770 01528 1|T|037.63446456|+25.23165510|       |       | 52.6| 41.3|     |     | |10.813|0.121| 9.944|0.089|128|T|
1776 01397 1|T|040.17109479|+27.06898697|       |       | 22.1| 15.7|     |     |V|      |     | 9.799|0.040|287|T|
1802 01525 1|T|053.61656561|+24.46809276|       |       | 26.8| 23.1|     |     | |10.145|0.048| 9.695|0.052|224|T|
1821 02400 1|T|060.01831268|+27.55496462|       |       | 30.3| 31.9|     |     | |11.231|0.078|10.368|0.058| 81|T|
1828 01958 1|T|065.72800415|+28.39954932|       |       | 60.7| 32.4|     |     | |10.687|0.095|10.017|0.085| 44|T|
1871 02622 1|T|088.83115074|+27.12137606|       |       | 56.8| 55.4|     |     | |11.440|0.191|10.873|0.168| 72|T|
1873 00936 1|T|085.62076645|+29.84892089|       |       | 78.9| 36.8|     |     | |11.025|0.088|10.283|0.063| 56|T|
1888 01031 1|T|099.73025254|+27.79905410|       |       | 29.5| 25.4|     |     | |10.558|0.053|10.420|0.075|288|T|
1929 00258 1|T|118.61675763|+26.17159260|       |       | 67.6| 43.9|     |     | |11.164|0.096|10.404|0.075|166|T|
